     0.0	    58.0
     1.0	    62.6
     2.0	    70.0
     3.0	    55.7
     4.0	    85.0
     5.0	    83.5
     6.0	    94.8
     7.0	    66.3
     8.0	    75.9
     9.0	    75.5
    10.0	   158.6
    11.0	    85.2
    12.0	    73.3
    13.0	    75.9
    14.0	    89.2
    15.0	    88.3
    16.0	    90.0
    17.0	   100.0
    18.0	    85.4
    19.0	   103.0
    20.0	    91.2
    21.0	    65.7
    22.0	    63.3
    23.0	    75.4
    24.0	    70.0
    25.0	    43.5
    26.0	    45.3
    27.0	    56.4
    28.0	    60.7
    29.0	    50.7
    30.0	    66.3
    31.0	    59.8
    32.0	    23.5
    33.0	    23.2
    34.0	    28.5
    35.0	    44.0
    36.0	    35.0
    37.0	    50.0
    38.0	    71.0
    39.0	    59.3
    40.0	    59.7
    41.0	    39.6
    42.0	    78.4
    43.0	    29.3
    44.0	    27.1
    45.0	    46.6
    46.0	    37.6
    47.0	    40.0
    48.0	    44.0
    49.0	    32.0
    50.0	    45.7
    51.0	    38.0
    52.0	    36.0
    53.0	    31.7
    54.0	    22.0
    55.0	    39.0
    56.0	    28.0
    57.0	    25.0
    58.0	    20.0
    59.0	     6.7
    60.0	     0.0
    61.0	     3.0
    62.0	     1.7
    63.0	    13.7
    64.0	    20.7
    65.0	    26.7
    66.0	    18.8
    67.0	    12.3
    68.0	     8.2
    69.0	    24.1
    70.0	    13.2
    71.0	     4.2
    72.0	    10.2
    73.0	    11.2
    74.0	     6.8
    75.0	     6.5
    76.0	     0.0
    77.0	     0.0
    78.0	     8.6
    79.0	     3.2
    80.0	    17.8
    81.0	    23.7
    82.0	     6.8
    83.0	    20.0
    84.0	    12.5
    85.0	     7.1
    86.0	     5.4
    87.0	     9.4
    88.0	    12.5
    89.0	    12.9
    90.0	     3.6
    91.0	     6.4
    92.0	    11.8
    93.0	    14.3
    94.0	    17.0
    95.0	     9.4
    96.0	    14.1
    97.0	    21.2
    98.0	    26.2
    99.0	    30.0
   100.0	    38.1
   101.0	    12.8
   102.0	    25.0
   103.0	    51.3
   104.0	    39.7
   105.0	    32.5
   106.0	    64.7
   107.0	    33.5
   108.0	    37.6
   109.0	    52.0
   110.0	    49.0
   111.0	    72.3
   112.0	    46.4
   113.0	    45.0
   114.0	    44.0
   115.0	    38.7
   116.0	    62.5
   117.0	    37.7
   118.0	    43.0
   119.0	    43.0
   120.0	    48.3
   121.0	    44.0
   122.0	    46.8
   123.0	    47.0
   124.0	    49.0
   125.0	    50.0
   126.0	    51.0
   127.0	    71.3
   128.0	    77.2
   129.0	    59.7
   130.0	    46.3
   131.0	    57.0
   132.0	    67.3
   133.0	    59.5
   134.0	    74.7
   135.0	    58.3
   136.0	    72.0
   137.0	    48.3
   138.0	    66.0
   139.0	    75.6
   140.0	    61.3
   141.0	    50.6
   142.0	    59.7
   143.0	    61.0
   144.0	    70.0
   145.0	    91.0
   146.0	    80.7
   147.0	    71.7
   148.0	   107.2
   149.0	    99.3
   150.0	    94.1
   151.0	    91.1
   152.0	   100.7
   153.0	    88.7
   154.0	    89.7
   155.0	    46.0
   156.0	    43.8
   157.0	    72.8
   158.0	    45.7
   159.0	    60.2
   160.0	    39.9
   161.0	    77.1
   162.0	    33.8
   163.0	    67.7
   164.0	    68.5
   165.0	    69.3
   166.0	    77.8
   167.0	    77.2
   168.0	    56.5
   169.0	    31.9
   170.0	    34.2
   171.0	    32.9
   172.0	    32.7
   173.0	    35.8
   174.0	    54.2
   175.0	    26.5
   176.0	    68.1
   177.0	    46.3
   178.0	    60.9
   179.0	    61.4
   180.0	    59.7
   181.0	    59.7
   182.0	    40.2
   183.0	    34.4
   184.0	    44.3
   185.0	    30.0
   186.0	    30.0
   187.0	    30.0
   188.0	    28.2
   189.0	    28.0
   190.0	    26.0
   191.0	    25.7
   192.0	    24.0
   193.0	    26.0
   194.0	    25.0
   195.0	    22.0
   196.0	    20.2
   197.0	    20.0
   198.0	    27.0
   199.0	    29.7
   200.0	    16.0
   201.0	    14.0
   202.0	    14.0
   203.0	    13.0
   204.0	    12.0
   205.0	    11.0
   206.0	    36.6
   207.0	     6.0
   208.0	    26.8
   209.0	     3.0
   210.0	     3.3
   211.0	     4.0
   212.0	     4.3
   213.0	     5.0
   214.0	     5.7
   215.0	    19.2
   216.0	    27.4
   217.0	    30.0
   218.0	    43.0
   219.0	    32.9
